variant,protocol,PAC_setting,GRL_setting,roughness_source,roughness_shuffle,raw_roughness_only,supervised_regularizer,label_free_consistency,empty_class_rule,lambda_adv,lambda_PAC,lambda_regularizer,PAC_warmup_epoch,checkpoint_rule,selection_metric,test_used_for_selection,seeds,epochs,batch_size,optimizer,lr,normalization,split_protocol,tuning_budget,notes
PAC-only,event_disjoint,yes,no,training-set roughness prior,no,no,no,no,included as third class,0,0.50,0,10,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,event_disjoint,same seed/split/epoch budget,PAC without adversarial domain branch
PAC-only,group_lonso,yes,no,training-set roughness prior,no,no,no,no,included as third class,0,0.50,0,10,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,group_lonso,same seed/split/epoch budget,PAC without adversarial domain branch
PAC-only,heldout_overlay,yes,no,training-set roughness prior,no,no,no,no,included as third class,0,0.50,0,10,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,heldout_overlay,same seed/split/epoch budget,PAC without adversarial domain branch
GRL-only,event_disjoint,no,yes,none,no,no,no,no,included as third class,0.10,0,0,N/A,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,event_disjoint,same seed/split/epoch budget,GRL/DANN only; no PAC; event_disjoint aligned near frozen +GRL(no PAC) row
GRL-only,group_lonso,no,yes,none,no,no,no,no,included as third class,0.10,0,0,N/A,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,group_lonso,same seed/split/epoch budget,GRL/DANN only; no PAC; event_disjoint aligned near frozen +GRL(no PAC) row
GRL-only,heldout_overlay,no,yes,none,no,no,no,no,included as third class,0.10,0,0,N/A,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,heldout_overlay,same seed/split/epoch budget,GRL/DANN only; no PAC; event_disjoint aligned near frozen +GRL(no PAC) row
PAC+GRL full,event_disjoint,yes,yes,training-set roughness prior,no,no,no,no,included as third class,0.10,0.50,0,10,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,event_disjoint,same seed/split/epoch budget,Full event_disjoint row copied exactly from frozen T6 RAAF-BiPAC-Mamba predictions for seeds 42-46
PAC+GRL full,group_lonso,yes,yes,training-set roughness prior,no,no,no,no,included as third class,0.10,0.50,0,10,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,group_lonso,same seed/split/epoch budget,Full event_disjoint row copied exactly from frozen T6 RAAF-BiPAC-Mamba predictions for seeds 42-46
PAC+GRL full,heldout_overlay,yes,yes,training-set roughness prior,no,no,no,no,included as third class,0.10,0.50,0,10,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,heldout_overlay,same seed/split/epoch budget,Full event_disjoint row copied exactly from frozen T6 RAAF-BiPAC-Mamba predictions for seeds 42-46
Shuffled roughness,event_disjoint,yes,yes,shuffled training roughness,yes,no,no,no,included as third class,0.10,0.50,0,10,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,event_disjoint,same seed/split/epoch budget,Roughness-event pairing shuffled
Shuffled roughness,group_lonso,yes,yes,shuffled training roughness,yes,no,no,no,included as third class,0.10,0.50,0,10,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,group_lonso,same seed/split/epoch budget,Roughness-event pairing shuffled
Shuffled roughness,heldout_overlay,yes,yes,shuffled training roughness,yes,no,no,no,included as third class,0.10,0.50,0,10,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,heldout_overlay,same seed/split/epoch budget,Roughness-event pairing shuffled
Raw-roughness-only classifier,event_disjoint,no,no,raw roughness scalar,no,yes,no,no,included as third class,0,0,0,N/A,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,event_disjoint,same seed/split/epoch budget,Classifier receives only roughness feature
Raw-roughness-only classifier,group_lonso,no,no,raw roughness scalar,no,yes,no,no,included as third class,0,0,0,N/A,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,group_lonso,same seed/split/epoch budget,Classifier receives only roughness feature
Raw-roughness-only classifier,heldout_overlay,no,no,raw roughness scalar,no,yes,no,no,included as third class,0,0,0,N/A,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,heldout_overlay,same seed/split/epoch budget,Classifier receives only roughness feature
Supervised-contrastive control,event_disjoint,no,yes,none,no,no,yes,no,included as third class,0.10,0,0.10,N/A,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,event_disjoint,same seed/split/epoch budget,Supervised contrastive regularization instead of PAC
Supervised-contrastive control,group_lonso,no,yes,none,no,no,yes,no,included as third class,0.10,0,0.10,N/A,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,group_lonso,same seed/split/epoch budget,Supervised contrastive regularization instead of PAC
Supervised-contrastive control,heldout_overlay,no,yes,none,no,no,yes,no,included as third class,0.10,0,0.10,N/A,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,heldout_overlay,same seed/split/epoch budget,Supervised contrastive regularization instead of PAC
Label-free raw-to-latent consistency,event_disjoint,no label PAC,yes,raw-to-latent consistency,no,no,no,yes,included as third class,0.10,0,0.10,N/A,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,event_disjoint,same seed/split/epoch budget,Label-free consistency loss without class-conditioned PAC
Label-free raw-to-latent consistency,group_lonso,no label PAC,yes,raw-to-latent consistency,no,no,no,yes,included as third class,0.10,0,0.10,N/A,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,group_lonso,same seed/split/epoch budget,Label-free consistency loss without class-conditioned PAC
Label-free raw-to-latent consistency,heldout_overlay,no label PAC,yes,raw-to-latent consistency,no,no,no,yes,included as third class,0.10,0,0.10,N/A,validation-only best checkpoint,val_accuracy,No,42-46,120,64,AdamW,1e-3,train-only mean/std,heldout_overlay,same seed/split/epoch budget,Label-free consistency loss without class-conditioned PAC
